Canal,Fecha,sku,marca,categoria,subcategoria,descripcion,precio
Elektra,17-04-2024,p,Whirlpool,Refrigerador,Refrigeradores,Refrigerador Whirlpool 9 Pies Top Mount WT02209D Inverter Silver,
Elektra,17-04-2024,p,Mabe,Refrigerador,Refrigeradores,Refrigerador Mabe 10 Pies Top Mount RMA1025VMXG/E Gris,
Elektra,17-04-2024,p,Midea,Refrigerador,Refrigeradores,Refrigerador Midea 10 Pies Top Mount MDRT280WINDXW Acero,
Elektra,17-04-2024,p,ACROS,Refrigerador,Refrigeradores,Refrigerador ACROS Top Mount 13 PIES,
Elektra,17-04-2024,p,Samsung,Refrigerador,Refrigeradores,Refrigerador Samsung 13 Pies Top Mount RT35A571JS9/EM Acero,
Elektra,17-04-2024,p,Automático,Refrigerador,Refrigeradores,Refrigerador Automático 360 L Inox Mabe Rme360Fdmrx0,
Elektra,17-04-2024,p,Whirlpool,Refrigerador,Refrigeradores,Refrigerador Whirlpool Mod. WT-32209D 9p3 Despachador,
Elektra,17-04-2024,p,Mabe,Refrigerador,Refrigeradores,Refrigerador Mabe 14 Pies Top Mount RME360FGMRE0 Grafito,
