Canal,Fecha,categoria,sku,marca,descripcion,precio,link
Costco,07-04-2024,,676432,"Carrier,","Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER","$28,599",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/Carrier-Aire-Acondicionado-Minisplit-Inverter-con-Wi-Fi-36000-btus-220V-enfriamiento-y-calefaccion-17-SEER/p/676432
Costco,07-04-2024,Lavavajillas,664483,LG,LG Lavavajillas 60cm 15 servicios,"$21,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/LG-Lavavajillas-60cm-15-servicios/p/664483
Costco,07-04-2024,Aires Acondicionados,676414,LG,"LG Aire Acondicionado Portátil Inverter, LP1419IVSM, Solo Frío, 115V, 1 Tonelada, 14,000 BTU/h, WiFi","$12,499",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/LG-Aire-Acondicionado-Portatil-Inverter-LP1419IVSM-Solo-Frio-115V-1-Tonelada-14000-BTUh-WiFi/p/676414
Costco,07-04-2024,,676432,"Carrier,","Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER","$28,599",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/Carrier-Aire-Acondicionado-Minisplit-Inverter-con-Wi-Fi-36000-btus-220V-enfriamiento-y-calefaccion-17-SEER/p/676432
Costco,07-04-2024,Lavadoras,663465,GE,GE Centro de lavado 20Kg / 20Kg de gas,"$26,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/GE-Centro-de-lavado-20Kg-20Kg-de-gas/p/663465
Costco,07-04-2024,Lavadoras,593501,Maytag,Maytag Lavadora 20Kg,"$16,899",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Lavadora-20Kg/p/593501
Costco,07-04-2024,Lavadoras,682702,Maytag,Maytag Secadora 26 KG,"$19,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Secadora-26-KG/p/682702
Costco,07-04-2024,Lavadoras,662833,Whirlpool,Whirlpool Lavadora 20Kg top load,"$15,499",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Whirlpool-Lavadora-20Kg-top-load/p/662833
Costco,07-04-2024,Lavadoras,660426,Maytag,Maytag Lavadora 22Kg con Pedestal,"$29,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Lavadora-22Kg-con-Pedestal/p/660426
Costco,07-04-2024,Lavadoras,681794,LG,LG Torre de lavado eléctrica WashTower™ gris 22Kg / 22Kg,"$52,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Torre-de-lavado-electrica-WashTower-gris-22Kg-22Kg/p/681794
Costco,07-04-2024,Lavadoras,652706,Whirlpool,Whirlpool centro de lavado 20kg / 10Kg de gas ,"$26,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Whirlpool-centro-de-lavado-20kg-10Kg-de-gas/p/652706
Costco,07-04-2024,,676144,LG,"LG Estufa de gas 5 quemadores 30""","$26,499",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/LG-Estufa-de-gas-5-quemadores-30/p/676144
Costco,07-04-2024,,659788,Teka,"Teka Estufa de gas empotrable con 6 quemadores 30"", puerta reflex","$15,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/Teka-Estufa-de-gas-empotrable-con-6-quemadores-30-puerta-reflex/p/659788
Costco,07-04-2024,Campana,667546,Teka,Teka Campana de pared 70 Cm,"$9,499",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/Teka-Campana-de-pared-70-Cm/p/667546
Costco,07-04-2024,Estufa,684220,LG,LG Combo Estufa De Piso a Gas Con Campana Extractora Hez3605S,"$36,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/LG-Combo-Estufa-De-Piso-a-Gas-Con-Campana-Extractora-Hez3605S/p/684220
Costco,07-04-2024,,666869,Smeg,"Smeg Estufa de gas con 5 quemadores 35""","$35,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/Smeg-Estufa-de-gas-con-5-quemadores-35/p/666869
Costco,07-04-2024,,658662,Estufa,"Estufa San-Son 7 equipos en uno, color negro ","$54,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/Estufa-San-Son-7-equipos-en-uno-color-negro/p/658662
Costco,07-04-2024,,659795,Teka,"Teka Estufa de piso de gas con 6 quemadores 30""","$15,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/Teka-Estufa-de-piso-de-gas-con-6-quemadores-30/p/659795
Costco,07-04-2024,Microondas,681900,"Gourmia,","Gourmia, Horno y Freidora de Aire Digital , 16 Funciones","$2,099",https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Gourmia-Horno-y-Freidora-de-Aire-Digital-16-Funciones/p/681900
Costco,07-04-2024,Microondas,3443715,Sur,"Sur La Table Freidora de Aire con Rosticero , 12.3 litros","$2,199",https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Sur-La-Table-Freidora-de-Aire-con-Rosticero-123-litros/p/3443715
Costco,07-04-2024,Microondas,675196,Sur,Sur La Table Horno de Microondas 1.2' Inverter,"$2,199",https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Sur-La-Table-Horno-de-Microondas-12-Inverter/p/675196
Costco,07-04-2024,Microondas,655707,Microondas,"Microondas Whirlpool de 1.1' con potencia grill, color silver acabado espejo ","$2,999",https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Microondas-Whirlpool-de-11-con-potencia-grill-color-silver-acabado-espejo/p/655707
Costco,07-04-2024,Microondas,6640772,Cuisinart,Cuisinart Tostador de Acero para 2 Rebanadas,$789,https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Cuisinart-Tostador-de-Acero-para-2-Rebanadas/p/6640772
Costco,07-04-2024,Microondas,508053,Samsung,Samsung horno de microondas + grill 1.0',"$3,799",https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Samsung-horno-de-microondas-grill-10/p/508053
Costco,07-04-2024,Microondas,651857,"LG,","LG, horno de microondas 1.5', Smart inverter","$3,499",https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/LG-horno-de-microondas-15-Smart-inverter/p/651857
Costco,07-04-2024,,653001,"De'Longhi,","De'Longhi, Calentador Portátil de Aceite  ","$1,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/DeLonghi-Calentador-Portatil-de-Aceite/p/653001
Costco,07-04-2024,,677144,LG,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$21,499",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR242HW-Frio-y-Calor-220V-2-Toneladas-22000-BTUh-WiFi/p/677144
Costco,07-04-2024,,677142,LG,"LG Aire Acondicionado ArtCool Inverter, VR182HW, Frío y Calor, 220V,  1.5 Toneladas, 18,000 BTU/h, WiFi","$17,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR182HW-Frio-y-Calor-220V-15-Toneladas-18000-BTUh-WiFi/p/677142
Costco,07-04-2024,,677140,LG,"LG Aire Acondicionado ArtCool Inverter, VR122HD, Frío y Calor, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR122HD-Frio-y-Calor-220V-1-Tonelada-12000-BTUh-WiFi/p/677140
Costco,07-04-2024,,674429,"De'Longhi,","De'Longhi, Calentador de Aceite Portátil, TRLS0715EL","$2,599",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/DeLonghi-Calentador-de-Aceite-Portatil-TRLS0715EL/p/674429
Costco,07-04-2024,Aires Acondicionados,682312,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 220V, Gas R32, con Wi-Fi","$10,599",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Enfriamiento-y-Calefaccion-12000-BTU-220V-Gas-R32-con-Wi-Fi/p/682312
Costco,07-04-2024,Aires Acondicionados,669602,"Carrier,","Carrier, Aire Acondicionado, Minisplit Inverter con Wi-Fi, solo enfriamiento, 18,000 BTU, 19 SEER, 220V","$14,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Inverter-con-Wi-Fi-solo-enfriamiento-18000-BTU-19-SEER-220V/p/669602
Costco,07-04-2024,Aires Acondicionados,680995,"Carrier,","Carrier, Aire Acondicionado Ventana De 12,000 Bus a 110V, Sólo Frío","$7,699",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Ventana-De-12000-Bus-a-110V-Solo-Frio/p/680995
Costco,07-04-2024,,677144,LG,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$21,499",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR242HW-Frio-y-Calor-220V-2-Toneladas-22000-BTUh-WiFi/p/677144
Costco,07-04-2024,Aires Acondicionados,682224,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 24,000 BTU, 220V, Gas R32, con Wi-Fi","$16,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Solo-Enfriamiento-24000-BTU-220V-Gas-R32-con-Wi-Fi/p/682224
Costco,07-04-2024,Aires Acondicionados,682318,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 18,000 BTU, 220V, Gas R32, con Wi-Fi","$14,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Enfriamiento-y-Calefaccion-18000-BTU-220V-Gas-R32-con-Wi-Fi/p/682318
Costco,07-04-2024,Aires Acondicionados,682324,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 24,000 BTU, 220V, Gas R32, con Wi-Fi","$18,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Enfriamiento-y-Calefaccion-24000-BTU-220V-Gas-R32-con-Wi-Fi/p/682324
Costco,07-04-2024,Lavavajillas,681577,Teka,Teka Lavavajillas 60cm 13 servicios,"$15,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/Teka-Lavavajillas-60cm-13-servicios/p/681577
