Canal,Fecha,categoria,sku,marca,descripcion,precio
Costco,04-04-2024,,1532177,Ninja,"Ninja Foodi, Horno con Freidora de Aire 10 en 1 XL","$5,999"
Costco,04-04-2024,,684615,"Westinghouse,","Westinghouse, Bufetera Eléctrica","$1,649"
Costco,04-04-2024,Lavadoras,670277,Samsung,Samsung Lavasecadora 12.5 Kg / 7 Kg,"$19,999"
Costco,04-04-2024,Lavadoras,670349,Samsung,Samsung Lavasecadora 12.5Kg / 7Kg,"$19,999"
Costco,04-04-2024,Lavadoras,657170,LG,LG Secadora de gas 25Kg,"$20,999"
Costco,04-04-2024,,676432,"Carrier,","Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER","$28,599"
Costco,04-04-2024,,682212,Carrier,"Carrier Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 220V, Gas R32, con Wi-Fi","$9,999"
Costco,04-04-2024,,682224,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 24,000 BTU, 220V, Gas R32, con Wi-Fi","$16,999"
Costco,04-04-2024,,682312,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 220V, Gas R32, con Wi-Fi","$10,599"
Costco,04-04-2024,,677144,LG,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$21,499"
Costco,04-04-2024,,683208,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 110V, Gas R32, con Wi-Fi","$9,999"
Costco,04-04-2024,,653001,"De'Longhi,","De'Longhi, Calentador Portátil de Aceite  ","$1,999"
Costco,04-04-2024,,677144,LG,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$21,499"
Costco,04-04-2024,,674429,"De'Longhi,","De'Longhi, Calentador de Aceite Portátil, TRLS0715EL","$2,599"
Costco,04-04-2024,,677140,LG,"LG Aire Acondicionado ArtCool Inverter, VR122HD, Frío y Calor, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,999"
Costco,04-04-2024,,677142,LG,"LG Aire Acondicionado ArtCool Inverter, VR182HW, Frío y Calor, 220V,  1.5 Toneladas, 18,000 BTU/h, WiFi","$17,999"
Costco,04-04-2024,,661928,LG,LG Campana extractora y purificadora 90cm,"$6,999"
Costco,04-04-2024,,659788,Teka,"Teka Estufa de gas empotrable con 6 quemadores 30"", puerta reflex","$15,999"
Costco,04-04-2024,Estufa,684220,LG,LG Combo Estufa De Piso a Gas Con Campana Extractora Hez3605S,"$36,999"
Costco,04-04-2024,,667546,Teka,Teka Campana de pared 70 Cm,"$9,499"
Costco,04-04-2024,,666869,Smeg,"Smeg Estufa de gas con 5 quemadores 35""","$35,999"
Costco,04-04-2024,,681900,"Gourmia,","Gourmia, Horno y Freidora de Aire Digital , 16 Funciones","$2,099"
Costco,04-04-2024,,675196,Sur,Sur La Table Horno de Microondas 1.2' Inverter,"$2,199"
Costco,04-04-2024,,3443715,Sur,"Sur La Table Freidora de Aire con Rosticero , 12.3 litros","$2,199"
Costco,04-04-2024,,6640772,Cuisinart,Cuisinart Tostador de Acero para 2 Rebanadas,$789
Costco,04-04-2024,,660655,"Samsung,","Samsung, Microondas con grill de 1.4', color plata","$4,299"
Costco,04-04-2024,,684612,"Westinghouse,","Westinghouse, Parrilla de Inducción","$1,599"
Costco,04-04-2024,,684613,"Westinghouse,","Westinghouse, Parrilla de Inducción Doble","$2,299"
Costco,04-04-2024,,667548,Teka,Teka Horno a Gas Estático con Grill Eléctrico 60 Cm,"$13,999"
Costco,04-04-2024,,683952,Hisense,Hisense Horno de convección 60cm HGO602BS,"$10,999"
Costco,04-04-2024,,668927,Teka,Teka Parrilla de gas 5 quemadores,"$10,999"
Costco,04-04-2024,,683209,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 110V, Gas R32, con Wi-Fi","$11,599"
Costco,04-04-2024,,682218,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 18,000 BTU, 220V, Gas R32, con Wi-Fi","$13,599"
Costco,04-04-2024,,674429,"De'Longhi,","De'Longhi, Calentador de Aceite Portátil, TRLS0715EL","$2,599"
Costco,04-04-2024,,680995,"Carrier,","Carrier, Aire Acondicionado Ventana De 12,000 Bus a 110V, Sólo Frío","$7,699"
Costco,04-04-2024,,677140,LG,"LG Aire Acondicionado ArtCool Inverter, VR122HD, Frío y Calor, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,999"
Costco,04-04-2024,,677142,LG,"LG Aire Acondicionado ArtCool Inverter, VR182HW, Frío y Calor, 220V,  1.5 Toneladas, 18,000 BTU/h, WiFi","$17,999"
Costco,04-04-2024,,659233,Smeg,Smeg Campana de isla 90cm,"$24,499"
Costco,04-04-2024,,537571,Teka,Teka campana de isla 91cm,"$19,999"
Costco,04-04-2024,,679567,Whirlpool,Whirlpool Campana de pared 90cm,"$11,999"
