Canal,Fecha,categoria,sku,marca,descripcion,precio
Costco,04-04-2024,Refrigeradores,668539,LG,LG Refrigerador 27´Duplex Instaview Door in Door con Dispensador de agua,
Costco,04-04-2024,Refrigeradores,521310,Teka,"Teka Refrigerador de 19' cuatro puertas dual cooling system, color acero inoxidable",
Costco,04-04-2024,Refrigeradores,675431,LG,LG Refrigerador 29' French Door Multi-Air Flow,
Costco,04-04-2024,Refrigeradores,656465,LG,LG Refrigerador 25' French Door Door Cooling,
Costco,04-04-2024,Refrigeradores,675388,Dace,Dace Refrigerador 7' ,
Costco,04-04-2024,Refrigeradores,659548,LG,LG Refrigerador 20' Top Mount Multi-Air Flow,
Costco,04-04-2024,Refrigeradores,625824,LG,LG Refrigerador 22' French Door con Dispensador de agua,
Costco,04-04-2024,Refrigeradores,677230,Hisense,Hisense Refrigerador 21'  cuatro puertas,
Costco,04-04-2024,Refrigeradores,657755,LG,LG Refrigerador 30' Instaview Door-in-Door,
Costco,04-04-2024,Refrigeradores,668446,LG,"LG Refrigerador 22' Duplex Door in Door, Door Cooling",
Costco,04-04-2024,Refrigeradores,674427,LG,LG Refrigerador 28' French Door Door Cooling,
Costco,04-04-2024,Refrigeradores,681751,Samsung,Samsung Refrigerador de 32´ French Door con Centro de Bebidas ,
Costco,04-04-2024,Refrigeradores,671692,LG,LG Refrigerador 27' Duplex con Dispensador de agua,
Costco,04-04-2024,Refrigeradores,681343,Samsung,Samsung Refrigerador 32´ French Door,
Costco,04-04-2024,Refrigeradores,678130,Whirlpool,Whirlpool Refrigerador 25' 7WRS25SDHM,
Costco,04-04-2024,Refrigeradores,649824,Maytag,Maytag Refrigerador 25' French Door,
Costco,04-04-2024,Refrigeradores,670473,Whirlpool,Whirlpool Congelador horizontal 11',
Costco,04-04-2024,Refrigeradores,670471,Whirlpool,Whirlpool Congelador horizontal 7',
Costco,04-04-2024,Refrigeradores,650998,Whirlpool,Whirlpool Refrigerador 25' Dúplex,
Costco,04-04-2024,Refrigeradores,652709,Maytag,Maytag Refrigerador 21' Top Mount,
Costco,04-04-2024,Refrigeradores,662673,Samsung,Samsung Refrigerador 22' Family Hub,
Costco,04-04-2024,Refrigeradores,522265,KitchenAid,KitchenAid Refrigerador de 20' French Door,
Costco,04-04-2024,Refrigeradores,658579,KitchenAid,KitchenAid Refrigerador French Door 27',
Costco,04-04-2024,Refrigeradores,670954,Whirlpool,Whirlpool Refrigerador 17' Bottom Mount,
Costco,04-04-2024,,1532177,Ninja,"Ninja Foodi, Horno con Freidora de Aire 10 en 1 XL",
Costco,04-04-2024,,681900,"Gourmia,","Gourmia, Horno y Freidora de Aire Digital , 16 Funciones",
Costco,04-04-2024,,675196,Sur,Sur La Table Horno de Microondas 1.2' Inverter,
Costco,04-04-2024,,3443715,Sur,"Sur La Table Freidora de Aire con Rosticero , 12.3 litros",
Costco,04-04-2024,,6640772,Cuisinart,Cuisinart Tostador de Acero para 2 Rebanadas,
Costco,04-04-2024,,660655,"Samsung,","Samsung, Microondas con grill de 1.4', color plata",
Costco,04-04-2024,,508053,Samsung,Samsung horno de microondas + grill 1.0',
Costco,04-04-2024,,651857,"LG,","LG, horno de microondas 1.5', Smart inverter",
Costco,04-04-2024,,655707,Microondas,"Microondas Whirlpool de 1.1' con potencia grill, color silver acabado espejo ",
Costco,04-04-2024,,682073,"Chefman,","Chefman, Horno Digital + Freidora de Aire de 20L Negro",
Costco,04-04-2024,,651939,Samsung,Samsung microondas 1.1' ,
Costco,04-04-2024,,627826,Samsung,Samsung horno de microondas 1.4' con grill,
Costco,04-04-2024,,VA509693,Smeg,Smeg Tostador Dos Rebanadas Varios Colores ,
Costco,04-04-2024,,1385185,Ninja,"Ninja Foodi, Horno con Freidora de Aire 8 en 1 ",
Costco,04-04-2024,,672848,"Chefman,","Chefman, Horno Digital + Freidora de Aire de 20L",
Costco,04-04-2024,,678803,Hamilton,"Hamilton Beach Professional, Horno Digital con Freidora de aire y Sensor de Temperatura",
Costco,04-04-2024,,652521,Panasonic,Panasonic microondas .9' silver,
Costco,04-04-2024,,661761,Panasonic,Panasonic Horno de Microondas 1.6' Inverter,
Costco,04-04-2024,,527922,Panasonic,Panasonic horno de microondas 2.2´,
Costco,04-04-2024,,640700,Panasonic,Panasonic horno de microondas 1.3',
Costco,04-04-2024,,666553,Pizzarette,"Pizzarette Grill, Horno para Mini Pizzas, Westinghouse",
Costco,04-04-2024,,672424,"Panasonic,","Panasonic, horno de microondas  1.3' Inverter",
Costco,04-04-2024,,VA509718,Smeg,Smeg Tostador para 4 Rebanadas Varios Colores,
Costco,04-04-2024,,676144,LG,"LG Estufa de gas 5 quemadores 30""",
Costco,04-04-2024,,676429,"Carrier,","Carrier, Aire Acondicionado Portatil 12,000 btus 110V,  enfriamiento, 10 SEER",
Costco,04-04-2024,Lavadoras,682698,Maytag,Maytag Lavadora 25 KG,
Costco,04-04-2024,,661928,LG,LG Campana extractora y purificadora 90cm,
Costco,04-04-2024,,659788,Teka,"Teka Estufa de gas empotrable con 6 quemadores 30"", puerta reflex",
Costco,04-04-2024,Estufa,684220,LG,LG Combo Estufa De Piso a Gas Con Campana Extractora Hez3605S,
Costco,04-04-2024,,667546,Teka,Teka Campana de pared 70 Cm,
Costco,04-04-2024,,666869,Smeg,"Smeg Estufa de gas con 5 quemadores 35""",
Costco,04-04-2024,,659233,Smeg,Smeg Campana de isla 90cm,
Costco,04-04-2024,,676432,"Carrier,","Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER",
Costco,04-04-2024,,682212,Carrier,"Carrier Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 220V, Gas R32, con Wi-Fi",
Costco,04-04-2024,,682224,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 24,000 BTU, 220V, Gas R32, con Wi-Fi",
Costco,04-04-2024,,682312,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 220V, Gas R32, con Wi-Fi",
Costco,04-04-2024,,677144,LG,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi",
Costco,04-04-2024,,683208,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 110V, Gas R32, con Wi-Fi",
Costco,04-04-2024,,683209,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 110V, Gas R32, con Wi-Fi",
Costco,04-04-2024,Lavadoras,674919,LG,LG Lavasecadora 22Kg / 13Kg con pedestal,
Costco,04-04-2024,Lavadoras,652706,Whirlpool,Whirlpool centro de lavado 20kg / 10Kg de gas ,
Costco,04-04-2024,Lavadoras,674138,LG,LG Lavasecadora 22Kg / 13Kg con pedestal,
Costco,04-04-2024,Lavadoras,522129,Maytag,Maytag Secadora de gas 19Kg,
Costco,04-04-2024,Lavadoras,660426,Maytag,Maytag Lavadora 22Kg con Pedestal,
Costco,04-04-2024,Lavadoras,662455,LG,LG Lavasecadora 16Kg / 8Kg,
Costco,04-04-2024,Lavadoras,668322,Maytag,Maytag Secadora de gas 28Kg Carga Superior ,
Costco,04-04-2024,,537571,Teka,Teka campana de isla 91cm,
Costco,04-04-2024,,679567,Whirlpool,Whirlpool Campana de pared 90cm,
Costco,04-04-2024,,684801,Samsung,Samsung Combo de Campana y Estufa ,
Costco,04-04-2024,,658662,Estufa,"Estufa San-Son 7 equipos en uno, color negro ",
Costco,04-04-2024,,659200,Smeg,"Smeg Estufa de gas 48""",
Costco,04-04-2024,,659256,Smeg,Smeg Campana de pared 90cm,
Costco,04-04-2024,,659795,Teka,"Teka Estufa de piso de gas con 6 quemadores 30""",
Costco,04-04-2024,,682218,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 18,000 BTU, 220V, Gas R32, con Wi-Fi",
Costco,04-04-2024,,674429,"De'Longhi,","De'Longhi, Calentador de Aceite Portátil, TRLS0715EL",
Costco,04-04-2024,,680995,"Carrier,","Carrier, Aire Acondicionado Ventana De 12,000 Bus a 110V, Sólo Frío",
Costco,04-04-2024,,677140,LG,"LG Aire Acondicionado ArtCool Inverter, VR122HD, Frío y Calor, 220V, 1 Tonelada, 12,000 BTU/h, WiFi",
Costco,04-04-2024,,677142,LG,"LG Aire Acondicionado ArtCool Inverter, VR182HW, Frío y Calor, 220V,  1.5 Toneladas, 18,000 BTU/h, WiFi",
Costco,04-04-2024,,682318,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 18,000 BTU, 220V, Gas R32, con Wi-Fi",
Costco,04-04-2024,,669602,"Carrier,","Carrier, Aire Acondicionado, Minisplit Inverter con Wi-Fi, solo enfriamiento, 18,000 BTU, 19 SEER, 220V",
Costco,04-04-2024,Lavadoras,674473,LG,LG Lavasecadora 22kg / 13Kg + twin wash mini 3.5Kg,
Costco,04-04-2024,Lavadoras,652707,Whirlpool,Whirlpool Centro de lavado 20Kg / 10Kg eléctrico,
Costco,04-04-2024,Lavadoras,668513,LG,LG Torre de lavado de gas WashTower™ gris 22Kg / 22Kg,
Costco,04-04-2024,Lavadoras,682702,Maytag,Maytag Secadora 26 KG,
Costco,04-04-2024,Lavadoras,593501,Maytag,Maytag Lavadora 20Kg,
