Canal,Fecha,categoria,subcategoria,sku,marca,descripcion,precio
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,655707,Microondas,"Microondas Whirlpool de 1.1' con potencia grill, color silver acabado espejo ","$2,999"
Costco,21-04-2024,Lavadoras,Lavadoras,662833,Whirlpool,Whirlpool Lavadora 20Kg top load,"$15,499"
Costco,21-04-2024,Aires Acondicionados,,682212,Carrier,"Carrier Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 220V, Gas R32, con Wi-Fi","$9,999"
Costco,21-04-2024,Lavavajillas,Lavavajillas,664483,LG,LG Lavavajillas 60cm 15 servicios,"$21,999"
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,676566,Smeg,Smeg Estufa de piso de gas con 4 quemadores 30”,"$63,899"
Costco,21-04-2024,Refrigeradores,Refrigeradores,684409,Refrigerador,Refrigerador Bespoke 32' French Door,"$42,999"
Costco,21-04-2024,Hornos-y-Parrillas,,659283,Smeg,Smeg Parrilla Teppan Yaki 30cm,"$34,499"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,652521,Panasonic,Panasonic microondas .9' silver,"$2,799"
Costco,21-04-2024,Lavadoras,Lavadoras,674138,LG,LG Lavasecadora 22Kg / 13Kg con pedestal,"$29,999"
Costco,21-04-2024,Aires Acondicionados,,682218,Carrier,"Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 18,000 BTU, 220V, Gas R32, con Wi-Fi","$13,599"
Costco,21-04-2024,Lavavajillas,Lavavajillas,683950,LG,LG Lavavajillas 14 Servicios Libre de empotre,"$17,499"
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,677233,Smeg,"Smeg Estufa Portofino de gas con 4 quemadores 30""","$39,899"
Costco,21-04-2024,Refrigeradores,Refrigeradores,674427,LG,LG Refrigerador 28' French Door Door Cooling,"$37,499"
Costco,21-04-2024,Hornos-y-Parrillas,,656841,Smeg,Smeg Horno de gas 60cm,"$23,499"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,3443715,Sur,"Sur La Table Freidora de Aire con Rosticero , 12.3 litros","$2,199"
Costco,21-04-2024,Lavadoras,Lavadoras,662455,LG,LG Lavasecadora 16Kg / 8Kg,"$21,999"
Costco,21-04-2024,Aires Acondicionados,,682324,Carrier,"Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 24,000 BTU, 220V, Gas R32, con Wi-Fi","$18,999"
Costco,21-04-2024,Lavavajillas,Lavavajillas,684847,Smeg,Smeg Lavavajillas 13 Servicios 60 cm Acero,"$25,999"
Costco,21-04-2024,Campanas,Campanas,683050,Bosch,"Bosch Campana de pared 36""","$44,999"
Costco,21-04-2024,Refrigeradores,Refrigeradores,657755,LG,LG Refrigerador 30' Instaview Door-in-Door,"$79,999"
Costco,21-04-2024,Hornos-y-Parrillas,,658641,Parrilla,"Parrilla profesional San-Son con 2 quemadores, acero inoxidable ","$10,499"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,1532177,Ninja,"Ninja Foodi, Horno con Freidora de Aire 10 en 1 XL","$5,999"
Costco,21-04-2024,Lavadoras,Lavadoras,681794,LG,LG Torre de lavado eléctrica WashTower™ gris 22Kg / 22Kg,"$52,999"
Costco,21-04-2024,Calentadores,,676432,Carrier,"Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER","$28,599"
Costco,21-04-2024,Lavavajillas,Lavavajillas,684611,Lavavajillas,Lavavajillas Smeg 60 cm Acero,"$28,999"
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,684767,Teka,Teka Combo Parrilla de inducción + Horno Eléctrico,"$26,499"
Costco,21-04-2024,Refrigeradores,Refrigeradores,668539,LG,LG Refrigerador 27´Duplex Instaview Door in Door con Dispensador de agua,"$47,999"
Costco,21-04-2024,Hornos-y-Parrillas,,524201,Whirlpool,Whirlpool Parrilla de gas 5 quemadores 86cm,"$10,499"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,651857,LG,"LG, horno de microondas 1.5', Smart inverter","$3,499"
